Threat Rank,Player,Team,Faction,Force Disposition,Elo,Global Elo Rank,Wins,Losses,Draws,Games,Win %,Confidence,Country,Most Recent Event,Club (as listed),Elo Name Matches,Comments
246,Tom Balmforth,Blackscar Gaming,Adepta Sororitas,Reconnaissance,1492,27726,13,16,1,30,45.0%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackscar Gaming,1,
247,Michael Curnow,Finleys Angels,Adeptus Mechanicus,Reconnaissance,1491,28486,2,3,0,5,40.0%,Low,England,The MANCHESTER 40k SUPER-MAJOR,Finley's Angels,1,"Elo rests on only 5 games, so lightly evidenced."
248,Mark Sheard,Phoenix40k - Drooling Creatures,Chaos Knights,Reconnaissance,1491,28549,2,7,1,10,25.0%,Low,England,THE SHEFFIELD 40K SUPER MAJOR,Phoenix40K,2,"Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it. Elo rests on only 10 games, so lightly evidenced."
249,Nick Hansen,Flapcats and Flackcannons,Leagues of Votann,Take and Hold,1490,29095,2,3,0,5,40.0%,Low,United States,Bourbon City Brawl 40K GT,,1,"Elo rests on only 5 games, so lightly evidenced. Based in United States, so likely outside the UK team circuit."
250,Natalie Dodd,Flapcats and Flackcannons,T'au Empire,Purge the Foe,1490,29564,0,3,0,3,0.0%,Low,England,40K Iron Man,Flatcaps and Flakcannons,1,"Elo rests on only 3 games, so lightly evidenced. Guest - club is listed as Flatcaps and Flakcannons, not this team."
251,Rob Willars,Low Rollers,Adeptus Custodes,Take and Hold,1488,30565,16,19,0,35,45.7%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Low Rollers,1,
252,Douglas Fairfield,Low Rollers,Emperor's Children,Priority Assets,1487,30709,7,11,0,18,38.9%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Low Rollers,1,"Elo rests on only 18 games, so lightly evidenced."
253,Rob McAllister,Blackwater Vikings Black,Tyranids,Reconnaissance,1487,30896,15,24,2,41,39.0%,Medium,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),Blackwater Vikings,1,
254,Ashley Blake,Black Herts,Imperial Knights,Purge the Foe,1485,32114,19,30,2,51,39.2%,Medium,England,The UKTC Windsor Super-Major,Black Herts,1,
255,Mark Main,Shadowkeepers :: The Chill,Chaos Space Marines,Disruption,1482,33165,6,9,0,15,40.0%,Low,England,THE SHEFFIELD 40K GT,Shadowkeepers,1,"Elo rests on only 15 games, so lightly evidenced."
256,Phil GC,Team YEET,Drukhari,Purge the Foe,1481,33522,2,3,0,5,40.0%,Low,England,The UKTC Windsor Super-Major,,1,"Elo rests on only 5 games, so lightly evidenced."
257,Marcus Losty,Tuesday Wizards,Leagues of Votann,Priority Assets,1481,33628,6,9,0,15,40.0%,Low,England,PSSN Presents: Dark Sphere May GT,Tuesday Knights,1,"Elo rests on only 15 games, so lightly evidenced."
258,Mike Keith,Sofa Meta,Grey Knights,Purge the Foe,1480,33985,16,31,0,47,34.0%,Medium,England,Beachhead Brawl 2026,Sofa Meta,1,
259,Matthew Wilson,Zero On Primary,Tyranids,Disruption,1479,34186,14,25,0,39,35.9%,Medium,England,Napalm Hobbies - SUMMER SWELTER GT - 40K - ITC,Zero On Primary,4,Name matches 4 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
260,Ryan Rowe,Globo Gym,World Eaters,Purge the Foe,1477,34917,3,7,0,10,30.0%,Low,England,THE BRISTOL 40K SUPER MAJOR,The Fighting Mongooses,1,"Elo rests on only 10 games, so lightly evidenced. Guest - club is listed as The Fighting Mongooses, not this team."
261,Kyle Beauly,Globo Gym,Adeptus Mechanicus,Disruption,1476,35081,1,4,0,5,20.0%,Low,Scotland,Doonhamer Open - 40K Super Major,,1,"Elo rests on only 5 games, so lightly evidenced."
262,Louis Boote,"Live, Laugh, Lascannons",Thousand Sons,Take and Hold,1475,35288,1,4,0,5,20.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),,1,"Elo rests on only 5 games, so lightly evidenced."
263,Joshua Wood,Trash Wargaming,Astra Militarum,Take and Hold,1475,35302,122,131,4,257,48.2%,High,England,South Yorkshire GT 1 2026,Trash Wargaming,1,
264,Dan Ford,Krump or Dice Tryin' B Team,Orks,Take and Hold,1474,35574,11,19,0,30,36.7%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Krump or Dice Tryin',2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
265,Oliver Logan,Snake Eyes,Black Templars,Purge the Foe,1474,35617,10,15,0,25,40.0%,Medium,England,THE BRISTOL 40K SUPER MAJOR,Snake Eyes,1,
266,Adam Nicholson,Sofa Meta is Bad at Stuff,World Eaters,Purge the Foe,1474,35637,4,6,0,10,40.0%,Low,England,Winchester 40K GT - May 2026,Sofa Meta,1,"Elo rests on only 10 games, so lightly evidenced."
267,Will Gilbert,PSSN: [L]ooming Table Flip,Astra Militarum,Take and Hold,1473,35763,5,10,0,15,33.3%,Low,England,Dark Sphere February GT,Pile of Shame Support Network,1,"Elo rests on only 15 games, so lightly evidenced. Guest - club is listed as Pile of Shame Support Network, not this team."
268,Nathan Jukes,Carnage Destruction,Thousand Sons,Priority Assets,1473,35918,7,13,0,20,35.0%,Medium,England,THE LEEDS 40K SUPER MAJOR,,1,
269,Alfie Gavagan,Finleys Angels,Death Guard,Purge the Foe,1471,36335,1,4,0,5,20.0%,Low,England,The MANCHESTER 40k SUPER-MAJOR,Finley's Angels,1,"Elo rests on only 5 games, so lightly evidenced."
270,Courtney Evetts,Webway Wanderers,Aeldari,Take and Hold,1471,36322,1,4,0,5,20.0%,Low,England,THE COVENTRY 40K : 2-Day,Webway Wanderers,1,"Elo rests on only 5 games, so lightly evidenced."
271,Josiah Tejeda,The Minutemen 2,Emperor's Children,Disruption,1469,36796,1,4,0,5,20.0%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,Air Force Gaming,1,"Elo rests on only 5 games, so lightly evidenced. Guest - club is listed as Air Force Gaming, not this team."
272,Dan Jemmerson,The Holy Hand Grenades,Adeptus Custodes,Take and Hold,1468,36988,1,4,0,5,20.0%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,The Holy Hand Grenades,1,"Elo rests on only 5 games, so lightly evidenced."
273,Harry Saunderson,Adeptus Mancunian,Adeptus Mechanicus,Priority Assets,1462,38330,3,7,0,10,30.0%,Low,England,The MANCHESTER 40k SUPER-MAJOR,Manchester Hive Wargaming,1,"Elo rests on only 10 games, so lightly evidenced. Guest - club is listed as Manchester Hive Wargaming, not this team."
274,shawn Dominy,Globo Gym,Orks,Take and Hold,1461,38380,8,10,0,18,44.4%,Low,England,THE BIRMINGHAM 40K SUPER MAJOR,,1,"Elo rests on only 18 games, so lightly evidenced."
275,Ben Raven,Team YEET,Chaos Knights,Reconnaissance,1461,38426,1,4,0,5,20.0%,Low,England,The UKTC Windsor Super-Major,South London Legion,1,"Elo rests on only 5 games, so lightly evidenced. Guest - club is listed as South London Legion, not this team."
276,Steven Timbers,The Holy Hand Grenades,T'au Empire,Reconnaissance,1460,38562,2,7,1,10,25.0%,Low,England,THE LEICESTER 40K SUPER MAJOR,The Holy Hand Grenades,1,"Elo rests on only 10 games, so lightly evidenced."
277,Joseph Cocking,Blackscar Gaming,Tyranids,Disruption,1460,38594,2,6,0,8,25.0%,Low,England,The NOTTINGHAM 40K SUPER-MAJOR,Blackscar Gaming,1,"Elo rests on only 8 games, so lightly evidenced."
278,Aidan McDade,"Live, Laugh, Lascannons",Space Wolves,Disruption,1459,38838,0,5,0,5,0.0%,Low,England,The London Grand Tournament - 40k Main Event (LGT 40k GT),,1,"Elo rests on only 5 games, so lightly evidenced."
279,Richard Pharoah,Death Korps of Queens Road - Orca Squadron,Adeptus Mechanicus,Reconnaissance,1458,38897,12,19,1,32,39.1%,Medium,England,Willen Games April Grand Tournament,Death Korps of Queens Road,1,
280,Nathan Gubbins,Death Korps of Queens Road - Orca Squadron,Space Marines (Astartes),Priority Assets,1452,39824,7,24,1,32,23.4%,Medium,England,Glasshammer Major - Nottingham,Death Korps of Queens Road,1,
281,Fintan Ryan,PSSN: [L]ooming Table Flip,Orks,Disruption,1452,39821,2,8,0,10,20.0%,Low,England,PSSN Presents: Dark Sphere May GT,Pile of Shame Support Network,1,"Elo rests on only 10 games, so lightly evidenced. Guest - club is listed as Pile of Shame Support Network, not this team."
282,Gordon Easingwood,Carnage Destruction,Imperial Knights,Disruption,1451,39900,93,109,7,209,46.2%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Carnage,1,
283,Finn Carter-Marsh,DKQR - Frog,Imperial Knights,Priority Assets,1449,40119,23,37,0,60,38.3%,High,England,Willen Games April Grand Tournament,Death Korps of Queens Road,1,"Guest - club is listed as Death Korps of Queens Road, not this team."
284,Daniel Benezra,Codex Creeps,Chaos Knights,Priority Assets,1449,40183,15,25,0,40,37.5%,Medium,Canada,Wheat City Open 2026: 40k,,1,"Based in Canada, so likely outside the UK team circuit."
285,Ben Hyde,Phoenix40k - Heinous Creatures,Death Guard,Disruption,1448,40242,7,18,0,25,28.0%,Medium,England,THE LEEDS 40K SUPER MAJOR,Phoenix 40k,2,Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
286,Matthew Coxon,BDK Gaming,T'au Empire,Purge the Foe,1447,40390,3,7,0,10,30.0%,Low,England,THE LEEDS 40K SUPER MAJOR,BDK Gaming,1,"Elo rests on only 10 games, so lightly evidenced."
287,Chris Steel,The Holy Hand Grenades,Orks,Priority Assets,1446,40440,14,32,0,46,30.4%,Medium,England,Nailhammer 11 (2 day 5 game GT),,1,
288,Francisco Parga,PSSN: Pile of Shame x LWG,World Eaters,Purge the Foe,1444,40582,21,45,3,69,32.6%,High,England,Dark  Sphere July GT,,1,
289,James Harrison,Cooked Green Dice,Blood Angels,Purge the Foe,1434,41257,0,4,0,4,0.0%,Low,United Arab Emirates,Gulf Tournament Circuit: Dubai,Cooked Green Dice,1,"Elo rests on only 4 games, so lightly evidenced. Based in United Arab Emirates, so likely outside the UK team circuit."
290,Chris Enderby,PSSN: Pile of Shame x LWG,Chaos Space Marines,Take and Hold,1419,41934,12,23,0,35,34.3%,Medium,England,PSSN Presents: Dark Sphere May GT,Pile of Shame Support Network,1,
291,Thomas Lumb,Carnage Destruction,Necrons,Take and Hold,1418,41954,3,12,0,15,20.0%,Low,England,South Yorkshire GT 1 2026,Carnage,1,"Elo rests on only 15 games, so lightly evidenced."
292,Dharminder Dhanda,Tuesday Wizards,Space Marines (Astartes),Disruption,1406,42209,8,33,0,41,19.5%,Medium,England,Dark  Sphere July GT,Tuesday Knights,2,Appears as team captain under the shortened name 'Dharm Dhanda'. Name also collides in the Elo database. Name matches 2 records in the Elo database; the UK record with the most games was used. Verify before relying on it.
293,Paul Edmonds,Sofa Meta is Bad at Stuff,Space Marines (Astartes),Take and Hold,1399,42313,16,32,0,48,33.3%,Medium,England,Warhammer 40000 GT: Warhammer Open UK Games Expo Birmingham,Is Bad At Stuff,1,
294,Chris Mcevoy,Adeptus Mancunian,T'au Empire,Reconnaissance,1389,42425,23,42,0,65,35.4%,High,England,THE LEEDS 40K SUPER MAJOR,Adeptus Mancunian,1,
295,Darragh Magee,Adeptus Mancunian,Chaos Knights,Purge the Foe,1386,42460,16,37,1,54,30.6%,Medium,England,The 36 Chambers,Adeptus Mancunian,1,
296,Brian Griffin,"Live, Laugh, Lascannons",Imperial Knights,Priority Assets,1381,42487,2,11,0,13,15.4%,Low,England,THE BRISTOL 40K SUPER MAJOR,,1,"Elo rests on only 13 games, so lightly evidenced."
297,Piers Hunte-Dunne,Adeptus Mancunian,Orks,Disruption,,,,,,,,-,no record,,Adeptus Mancunian,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
298,Sinhin Li,Adeptus Mancunian,Space Marines (Astartes),Take and Hold,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
299,Jono Graham,Adeptus Mancunian 1,Death Guard,Disruption,,,,,,,,-,no record,,Adeptus Mancunian,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
300,Peter Guess,Adeptus Mancunian 1,T'au Empire,Priority Assets,,,,,,,,-,no record,,Adeptus Mancunian,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
301,Toby Kan,Adeptus Mancunian 1,Necrons,Take and Hold,,,,,,,,-,no record,,Adeptus Mancunian,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
302,Ben Stewart,BDK Gaming,Necrons,Take and Hold,,,,,,,,-,no record,,BDK Gaming,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
303,Mark Burke,BDK Gaming,Tyranids,Reconnaissance,,,,,,,,-,no record,,BDK Gaming,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
304,Cameron Corbett,Beasts of Buckingham,Space Marines (Astartes),Take and Hold,,,,,,,,-,no record,,Beasts of Buckingham,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
305,Christopher Ives,Beasts of Buckingham,Chaos Knights,Purge the Foe,,,,,,,,-,no record,,Beasts of Buckingham,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
306,Matt Hucker,Beasts of Buckingham,Drukhari,Reconnaissance,,,,,,,,-,no record,,Beasts of Buckingham,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
307,Ryan Willett,Beasts of Buckingham,Astra Militarum,Priority Assets,,,,,,,,-,no record,,Beasts of Buckingham,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
308,Tom Crook,Beasts of Buckingham,Orks,Disruption,,,,,,,,-,no record,,Beasts of Buckingham,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
309,Arran Butters,Blackscar Gaming,Chaos Space Marines,Take and Hold,,,,,,,,-,no record,,Blackscar Gaming,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
310,Alex Nicoll,Blackwater Vikings Silver,Imperial Knights,Purge the Foe,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
311,Jack Quantrell,Blackwater Vikings Silver,T'au Empire,Reconnaissance,,,,,,,,-,no record,,Blackwater Vikings,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
312,Robert Quantrell,Blackwater Vikings Silver,Dark Angels,Disruption,,,,,,,,-,no record,,Blackwater Vikings,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
313,Jack Newland,Blackwater Vikings Team Pink,Imperial Knights,Purge the Foe,,,,,,,,-,no record,,Blackwater Vikings,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
314,Callam Taylor-Deighton,Carnage Behemoth,Orks,Take and Hold,,,,,,,,-,no record,,Carnage,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
315,John Bambridge,Codex Creeps,Space Marines (Astartes),Reconnaissance,,,,,,,,-,no record,,B Siders,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as B Siders, not this team."
316,Joe Gazzard,Cooked Green Dice,Imperial Knights,Reconnaissance,,,,,,,,-,no record,,Cooked Green Dice,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
317,Scott Ogden,Cooked Green Dice,Tyranids,Take and Hold,,,,,,,,-,no record,,Cooked Green Dice,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
318,Steve Ashby,Cooked Green Dice,Adeptus Custodes,Disruption,,,,,,,,-,no record,,Cooked Green Dice,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
319,Joe Shaw,Death Korps of Queens Road - Orca Squadron,Grey Knights,Disruption,,,,,,,,-,no record,,Death Korps of Queen's Road,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
320,Aaron Loftus,Finleys Angels,Orks,Take and Hold,,,,,,,,-,no record,,Finley's Angels,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
321,Anton Trussell,Finleys Angels,Adepta Sororitas,Priority Assets,,,,,,,,-,no record,,Finley's Angels,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
322,Finley Arbon-Donovan,Finleys Angels,Chaos Space Marines,Disruption,,,,,,,,-,no record,,Finley's Angels,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
323,Ben Matthews,Hobby Henchmen II,Death Guard,Take and Hold,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
324,Cameron MacColl,Hobby Henchmen II,Astra Militarum,Priority Assets,,,,,,,,-,no record,,Hobby Henchmen,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
325,Jack JC Chapman,Krump or Dice Tryin',Grey Knights,Priority Assets,,,,,,,,-,no record,,Krump or Dice Tryin',0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
326,Sudan Mcdade,Krump or Dice Tryin' B Team,Space Wolves,Disruption,,,,,,,,-,no record,,Krump or Dice Tryin',0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
327,Alex Mee,Live and let dice,Leagues of Votann,Disruption,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
328,Jack Allen,Live and let dice,Emperor's Children,Purge the Foe,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
329,Lee Drinkall,Live and let dice,Imperial Knights,Take and Hold,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
330,Benjamin Crowther,Low Rollers,Orks,Disruption,,,,,,,,-,no record,,[L7],0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
331,matthew Doar,Phoenix40K - Outrageous Creatures,Adeptus Custodes,Disruption,,,,,,,,-,no record,,Phoenix 40k,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
332,Tel Hunt,Polaris,Adeptus Custodes,Take and Hold,,,,,,,,-,no record,,Polaris,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
333,Ciaran Keen,Shadowkeepers :: The Chill,Leagues of Votann,Reconnaissance,,,,,,,,-,no record,,Shadowkeepers,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
334,Neil Holman,Snake Eyes,Aeldari,Disruption,,,,,,,,-,no record,,Snake Eyes,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
335,Alexander Thomson,Team YEET,Adeptus Custodes,Disruption,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
336,Steve Donn,Team YEET,Imperial Knights,Priority Assets,,,,,,,,-,no record,,South London Legion,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as South London Legion, not this team."
337,Brock Duckworth,The Minutemen 1,Leagues of Votann,Disruption,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
338,Gary Maxwell,The Minutemen 1,T'au Empire,Reconnaissance,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
339,Sean Cook,The Minutemen 1,Blood Angels,Purge the Foe,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
340,Thomas Kusturin,The Minutemen 1,Imperial Knights,Priority Assets,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
341,Blaise Galbraith,The Minutemen 2,Chaos Knights,Reconnaissance,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
342,John Schmidt,The Minutemen 2,Adeptus Custodes,Purge the Foe,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
343,Jonathan Causey,The Minutemen 2,Thousand Sons,Take and Hold,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
344,Michael Westfall,The Minutemen 2,Grey Knights,Priority Assets,,,,,,,,-,no record,,Air Force Gaming,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Air Force Gaming, not this team."
345,Chong Liu,Tuesday Wizards,Adeptus Custodes,Reconnaissance,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
346,Edward Perry,Tuesday Wizards,Grey Knights,Purge the Foe,,,,,,,,-,no record,,,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
347,Andy Ingram-Tedd,Webway Wanderers,Adeptus Mechanicus,Priority Assets,,,,,,,,-,no record,,Webway Wanderers,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
348,Aj Richardson,Wet T-shirt saves,Necrons,Reconnaissance,,,,,,,,-,no record,,Charlie's angels of death,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Charlie's angels of death, not this team."
349,Albert Wright,Wet T-shirt saves,Astra Militarum,Take and Hold,,,,,,,,-,no record,,Charlie's angels of death,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Charlie's angels of death, not this team."
350,Hubert Bialek,Wet T-shirt saves,Chaos Space Marines,Purge the Foe,,,,,,,,-,no record,,Charlie's angels of death,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Charlie's angels of death, not this team."
351,Will Johnson,Wet T-shirt saves,Chaos Daemons,Disruption,,,,,,,,-,no record,,Charlie's angels of death,0,"No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak. Guest - club is listed as Charlie's angels of death, not this team."
352,Christopher Ridgers,Zero On Primary,Dark Angels,Reconnaissance,,,,,,,,-,no record,,Zero On Primary,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
353,Connor Hulme,Zero On Primary,Chaos Space Marines,Priority Assets,,,,,,,,-,no record,,Zero On Primary,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
354,Max Darby,Zero On Primary,Death Guard,Take and Hold,,,,,,,,-,no record,,Zero On Primary,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
355,Olly Hayter,Zero On Primary,Adeptus Custodes,Purge the Foe,,,,,,,,-,no record,,Zero On Primary,0,No ranked-event record in this database since Feb 2022. Unknown quantity rather than necessarily weak.
